fips,county,lat,lon,ercot_zone,twdb_region,pop_2020,pop_2030,pop_2040,pop_2050,pop_growth_pct,water_2020_kaf,water_2030_kaf,water_2040_kaf,water_2050_kaf,water_growth_pct,elec_peak_2020_mw,elec_peak_2030_mw,elec_peak_2040_mw,elec_peak_2050_mw,elec_growth_pct,new_load_mw
48317,Martin,32.3,-101.95,WEST,F,5771,6166,6589,7041,22.0,10.39,10.77,11.16,11.57,11.4,16.2,26.3,42.9,69.8,330.9,1746.67
48319,Mason,30.75,-99.23,SCENT,J,4274,4999,5847,6838,60.0,5.13,5.82,6.6,7.49,46.0,8.5,12.7,18.7,27.7,225.9,1803.13
48321,Matagorda,28.8,-96.01,COAST,H,36643,41474,46943,53132,45.0,20.15,22.13,24.29,26.67,32.4,87.9,112.6,144.1,184.5,109.9,2588.37
48323,Maverick,28.74,-100.31,SOUTH,L,58722,65377,72787,81036,38.0,41.11,44.39,47.94,51.77,25.9,105.7,142.1,190.9,256.6,142.8,959.19
48325,Medina,29.35,-99.11,SCENT,L,51584,60333,70566,82534,60.0,36.11,40.97,46.48,52.73,46.0,103.2,152.7,226.1,334.6,224.2,1409.06
48327,Menard,30.92,-99.78,NCENT,F,2138,2474,2863,3314,55.0,3.85,4.32,4.85,5.44,41.3,4.5,6.3,8.9,12.6,180.0,877.0
48329,Midland,32.0,-102.11,WEST,F,169831,181469,193906,207194,22.0,305.7,316.84,328.4,340.38,11.3,475.5,774.6,1261.7,2055.2,332.2,3407.5
48331,Milam,30.79,-96.97,EAST,K,24664,25765,26915,28117,14.0,11.84,12.0,12.16,12.32,4.1,56.7,67.8,81.0,96.9,70.9,1309.04
48333,Mills,31.49,-98.59,NCENT,G,4873,5639,6527,7553,55.0,3.31,3.72,4.18,4.69,41.7,10.2,14.4,20.4,28.7,181.4,4480.02
48335,Mitchell,32.3,-100.92,WEST,F,9134,9760,10429,11143,22.0,16.44,17.04,17.66,18.31,11.4,25.6,41.7,67.9,110.5,331.6,0
